SKU,RMSE,MAE,MAPE
952236172,2.4734,2.4148,79.1734
908015566,54.7551,44.5936,31.9908
547561021,104.9485,78.1643,94.203
9521024,2080.661,1432.5764,62.608
374510154,1219.518,1190.4514,67.2752
897117898,655.0843,522.1943,57.0298
300622211,2704.8918,2680.6909,180.1564
585082969,31.9113,29.7105,94.7219
934442047,331.358,304.9155,257.2029
727900950,2378.3404,2231.8822,58.8526
590841095,1273.603,1158.9676,202.1803
694383766,653.8803,462.65,43.8362
442760877,426.4948,340.2802,66.8876
146590578,2459.4621,2070.3748,96.4927
311986502,6767.6926,5520.5791,204.302
267089692,700.2419,539.5659,63.4583
608090289,260.5427,204.0879,40.7858
73874114,2524.391,2428.068,11.5383
964072166,706.3679,661.9012,29.4007
964401352,400.0506,333.3138,80.0834
945657587,486.6536,405.2342,36.6613
974787844,6453.4302,5902.0216,18.0494
296593979,15.6979,13.0951,102.5288
827698260,24.4097,20.3242,28.5293
109168017,1477.4419,1011.681,37.3748
975932338,2263.3987,1611.1302,85.6506
362480034,3094.2621,2631.8863,15.6951
99320164,766.5055,662.3095,31.78
776187312,43.8276,38.7516,174.9896
111643470,319.9868,253.4751,27.7666
920035785,138.7732,105.6852,440.0378
781932625,4416.9777,3957.5336,77.8439
151519931,236.6894,169.2047,69.3625
489701896,1184.4296,1142.7747,35.2494
681770000,468.0931,312.2553,57.0444
124440480,8770.1771,7423.5399,62.0597
388658021,364.4885,337.3196,493.4137
735809996,117.4499,91.5174,75.7825
221662390,125.0201,82.2155,88.4216
997569454,166.0621,146.8871,41.251
360248028,15935.3323,14432.9493,45.1618
901590966,181.9899,124.9298,66.3555
987988484,2103.4477,1862.9052,37.7143
289713247,2904.2217,2091.0876,25.4564
283158874,3904.2594,3461.102,26.3498
414145908,7.3931,6.5265,85.4463
171548688,1370.8717,1297.5462,79.8341
111515326,749.657,536.9936,257.6801
924286187,1722.0471,1429.513,851.1414
834308284,4840.1328,3618.7733,65.8305
456326818,1917.7448,1502.7835,97.1719
699049388,612.1072,482.425,182.9029
85489623,10098.4793,9405.1852,32.8684
81333478,2962.2141,2825.9137,30.2941
964897245,1399.0181,1116.4555,51.1645
613467348,2674.9876,2619.9246,120.7317
867054999,778.9583,707.7403,43.2234
499803267,86.3768,58.6031,87.9437
799941714,6243.9779,4831.7681,49.6264
703777678,18604.9862,16743.2121,68.2941
813733791,2151.5415,1843.1847,41.5333
14235288,829.453,633.6314,112.5827
600938684,14530.6532,13913.3623,411.9199
73151162,93.1662,72.0712,46.766
753924164,1194.2647,887.3899,81.1237
595385278,523.0974,405.7195,18.2296
521068599,6029.4035,5081.8838,39.6088
8096747,45.3625,41.3119,43.4933
671987093,5157.0032,4144.2458,957.0016
472363665,1061.0138,1005.555,139.642
42068863,7169.6524,6531.5307,24.5203
483917528,3056.2451,2898.1307,132.8947
502251178,2468.3721,2373.3063,92.0292
464538927,704.7581,645.4139,36.269
955541028,2314.215,2240.1734,74.2897
839112800,3296.1118,3125.1064,27.02
231147280,3075.3628,2946.931,42.9427
86825323,1381.2885,1234.7818,23.9966
92498958,7225.3315,6644.1123,25.0406
589288047,5.2904,4.8253,83.2603
35306040,9.5514,8.6693,215.2098
582188628,608.4242,556.3598,18.5067
400337805,436.2224,411.6046,78.4029
253470269,571.9072,472.3081,44.7735
231259226,11428.4952,10751.8678,1358.3666
22764318,118.4085,81.5144,76.7679
785656623,277.0762,243.8073,36.815
834166556,94.4595,75.6071,19.6722
862477348,83.405,81.2319,1042.2946
688881961,229.3216,172.6786,20.0039
96058228,2823.1753,2142.7594,85.9678
472635003,434.6114,180.0892,44.8216
446068290,3732.5579,2698.4177,719.4679
342485536,1869.3507,1819.8789,281.4815
367529023,2092.9974,1846.7896,53.8644
446645877,672.181,425.5083,170.5434
967677473,949.6669,845.8024,38.361
954391399,376.0046,313.6309,43.6317
355066718,662.6847,349.0073,62.166
234447450,777.2007,753.035,76.5543
342168782,4530.07,4390.7406,51.1414
16561859,3942.784,3698.0184,21.287
292379991,99.685,87.2867,35.639
584545813,3445.5939,3315.3649,315.79
955076654,4928.2661,4405.5086,4.0427
