SKU (Anonymized);jan.22;feb.22;mar.22;apr.22;mai.22;jun.22;jul.22;aug.22;sep.22;okt.22;nov.22;des.22;jan.23;feb.23;mar.23;apr.23;mai.23;jun.23;jul.23;aug.23;sep.23;okt.23;nov.23;des.23;jan.24;feb.24;mar.24;apr.24;mai.24;jun.24;jul.24;aug.24;sep.24;okt.24;nov.24;des.24;jan.25;feb.25;mar.25;apr.25;mai.25;jun.25;jul.25;aug.25;sep.25;okt.25;nov.25;des.25;SKU
952236172;;;13;16;20;10;20;20;10;;10;;10;;5;3;5;9;;11;10;3;;3;5;;7;4;3;2;;4;;1;2;;;;2;;;;;;;;;;771356855
908015566;50;100;123;106;126;135;57;152;109;150;70;230;50;147;100;170;80;30;70;75;;187;90;50;80;37;186;97;150;69;70;205;60;110;80;60;190;70;150;;110;79;132;160;60;79;140;;106247844
547561021;30;160;150;90;100;170;50;110;110;160;70;100;160;179;190;60;130;131;120;110;150;140;150;150;110;170;180;160;150;160;10;272;130;120;110;30;120;140;120;90;20;230;180;340;90;30;;;547149031
9521024;4560;7320;5460;2640;5700;6180;5160;4560;6840;5340;3720;9600;5640;3720;3600;3300;2880;540;6300;5700;4080;2580;5310;2920;2280;2490;4120;6900;3820;8660;7230;4150;3410;4080;3730;2620;2770;4850;900;3600;2960;3540;8700;8640;5940;4140;4320;2880;641004068
374510154;720;910;1480;810;1090;2870;3230;350;310;260;520;1120;370;1180;770;880;830;;;1500;650;880;790;650;750;890;920;740;1110;810;760;860;880;1040;610;610;531;;;;;;;;;;;;406437917
897117898;680;1684;1764;943;2022;2050;2650;280;1330;540;975;1310;1190;910;1202;1522;531;1070;650;760;1191;980;1060;720;2080;951;600;660;1040;920;570;770;780;1450;970;620;820;1380;1160;980;2050;250;1070;1180;980;390;;;344523399
300622211;1500;2083;;;;;5217;2164;1996;2248;1800;2728;1976;2276;2252;1976;2308;2452;2092;1970;2880;2308;2436;2052;3952;3868;2374;2880;3296;2352;1820;2580;2136;2924;2552;1936;1196;;;;;;;;;;;;514228206
585082969;40;60;110;20;50;85;70;40;60;60;50;100;20;60;30;60;50;90;60;10;60;70;130;20;30;30;80;30;50;10;70;70;80;40;70;50;30;20;60;20;90;20;50;50;20;90;80;30;117060860
934442047;280;520;770;430;320;480;545;420;430;440;630;765;310;350;240;465;410;435;330;435;560;340;715;415;335;440;410;240;435;120;560;365;240;567;305;215;570;350;300;200;600;60;41;;;;;;602808606
727900950;810;1215;1890;1350;675;2835;6000;3510;2160;2430;1350;1350;2025;;5400;1620;3645;13500;;;;;2160;2025;2430;3375;2700;4860;;135;4185;3105;2160;3240;3645;2700;2711;3229;3915;1080;;;;;;;;;684968976
590841095;370;910;1600;220;800;820;700;570;920;700;800;436;1384;900;1360;1050;200;150;;;16;;;;5744;500;1420;1110;1190;460;2260;970;1510;2740;1650;770;3790;1600;2933;139;;;;;;;;;799612254
694383766;220;250;160;150;150;200;350;430;390;570;180;470;1070;200;450;340;220;430;340;230;660;770;1040;650;940;390;760;500;260;360;1020;90;640;290;860;260;440;1160;600;290;810;490;600;1780;1280;1600;500;;372225197
442760877;430;440;530;320;540;480;410;862;500;220;740;670;980;360;440;530;270;600;460;320;640;770;1260;440;840;490;1090;850;530;400;1090;640;880;890;1040;960;700;680;1400;480;640;300;1100;840;1420;1660;360;220;764903083
146590578;3079;320;9101;2330;5120;4480;5440;3280;3320;4580;4160;5760;14720;3200;7360;3520;6400;2880;4480;3200;5120;2900;8840;1920;4930;4910;2560;120;;320;2310;4480;4160;6400;3200;2350;5870;4480;5120;1920;3880;2240;3520;861;;;;;80380683
311986502;2240;4000;9280;4160;5760;7360;7460;3840;4480;5540;3940;9920;20160;3200;11200;5440;6460;5440;4480;4160;7750;4480;8320;4480;7040;7040;3840;;;;1600;5040;4480;6720;3520;3200;5860;5760;6510;2240;4480;2560;3040;5120;2670;;;;472551672
267089692;300;360;772;360;540;473;478;350;289;644;797;129;422;;;2632;480;120;240;350;462;468;944;320;482;463;333;44;200;215;567;680;290;608;510;173;692;517;695;270;475;606;696;304;;;;;518212704
608090289;365;105;1;135;171;165;210;;315;;105;211;105;94;210;105;210;210;294;492;625;530;358;;;;;1134;220;338;267;380;301;380;336;411;468;284;284;286;575;154;265;502;267;;;;109371143
73874114;2160;2880;2040;;;8280;1710;3360;2700;2100;1860;3060;3360;2040;2970;3570;2220;1710;2910;2400;3120;2280;3150;1920;2610;1980;2610;1800;2250;2070;2340;2610;3060;3150;2430;1710;2250;;;;;;;;;;;;256662698
964072166;610;3940;7920;6720;6000;5040;3600;480;;480;720;1990;720;310;960;350;;780;310;1450;1200;714;1264;288;384;658;688;160;604;424;160;554;222;618;568;538;666;822;;;;;;;;;;;611509044
964401352;354;678;1000;312;588;652;168;756;640;575;732;670;702;870;412;832;612;714;642;592;780;756;862;267;885;662;646;556;758;668;502;529;;1694;730;620;1196;560;212;690;952;304;768;692;794;153;1587;600;441850728
